Modèle,Score métier,Accuracy Train,Accuracy Val,precision,recall,f1,Temps d'exécution,AUC
LogisticRegression,8242,0.9207954740270873,0.9176666666666666,0.425531914893617,0.016286644951140065,0.03137254901960784,174.13569164276123,0.7453635923712466
RandomForestClassifier,8674,0.9200525744328247,0.9181333333333334,0.0,0.0,0.0,236.4036819934845,0.7221846289644003
Balanced Random Forest,8437,0.7510714897994171,0.732,0.17199248120300753,0.5960912052117264,0.26695842450765866,341.1207318305969,0.7380769389054503
CatBoostClassifier,7810,0.9336819246814103,0.9182666666666667,0.5294117647058824,0.014657980456026058,0.028526148969889066,2833.606800556183,0.7623980488192538
