Modèle,Score métier,Accuracy Train,Accuracy Val,precision,recall,f1,Temps d'exécution,AUC
LogisticRegression,8242,0.9207954740270873,0.9176666666666666,0.425531914893617,0.016286644951140065,0.03137254901960784,149.96142959594727,0.7453635923712466
RandomForestClassifier,8519,0.9200525744328247,0.9181333333333334,0.0,0.0,0.0,250.65533566474915,0.7274329683699448
Balanced Random Forest,8410,0.7508714783701926,0.7323333333333333,0.1728105189011505,0.5993485342019544,0.2682704574448697,320.6851727962494,0.7389510511342942
CatBoostClassifier,7810,0.9336819246814103,0.9182666666666667,0.5294117647058824,0.014657980456026058,0.028526148969889066,2634.691474676132,0.7623980488192538
