Modèle,Score métier,Accuracy Train,Accuracy Val,precision,recall,f1,Temps d'exécution,AUC
LogisticRegression,8242,0.9207954740270873,0.9176666666666666,0.425531914893617,0.016286644951140065,0.03137254901960784,147.7942283153534,0.7453635923712466
RandomForestClassifier,8664,0.9200525744328247,0.9181333333333334,0.0,0.0,0.0,208.04516220092773,0.7212759259451977
Balanced Random Forest,8391,0.7515286587805018,0.7308,0.17172897196261683,0.5985342019543974,0.2668845315904139,298.5160093307495,0.7402461066735035
CatBoostClassifier,7810,0.9336819246814103,0.9182666666666667,0.5294117647058824,0.014657980456026058,0.028526148969889066,2684.8359565734863,0.7623980488192538
