Modèle,Score métier,Accuracy Train,Accuracy Val,precision,recall,f1,Temps d'exécution,AUC
LogisticRegression,8242,0.9207954740270873,0.9176666666666666,0.425531914893617,0.016286644951140065,0.03137254901960784,142.43895077705383,0.7453635923712466
RandomForestClassifier,8598,0.9200525744328247,0.9181333333333334,0.0,0.0,0.0,187.20803570747375,0.7244241017747381
Balanced Random Forest,8340,0.7501571518372478,0.7314666666666667,0.17289719626168223,0.6026058631921825,0.26870007262164125,256.5335969924927,0.7397149458704391
CatBoostClassifier,7810,0.9336819246814103,0.9182666666666667,0.5294117647058824,0.014657980456026058,0.028526148969889066,2428.510964870453,0.7623980488192538
